;pais_destino;ano;quantidade_l;valor_uss
199;Iraque;2009;0;0
200;Irlanda;2009;0;0
201;Itália;2009;1817;5251
202;Jamaica;2009;0;0
203;Japão;2009;217974;283436
204;Jordânia;2009;0;0
205;Letônia;2009;0;0
206;Líbano;2009;0;0
207;Libéria;2009;0;0
208;Luxemburgo;2009;7845;42124
209;Malásia;2009;0;0
210;Malta;2009;0;0
211;Marshall, Ilhas;2009;0;0
212;Mauritânia;2009;0;0
213;México;2009;0;0
214;Moçambique;2009;0;0
215;Montenegro;2009;0;0
216;Namibia;2009;0;0
217;Nicaragua;2009;24;24
218;Nigéria;2009;41;115
219;Noruega;2009;0;0
220;Nova Caledônia;2009;0;0
221;Nova Zelândia;2009;0;0
222;Omã;2009;0;0
223;Países Baixos;2009;171654;136991
224;Panamá;2009;24;30
225;Paraguai;2009;486927;392087
226;Peru;2009;0;0
227;Polônia;2009;6982;35797
228;Porto Rico;2009;0;0
229;Portugal;2009;141000;168923
230;Quênia;2009;0;0
231;Reino Unido;2009;30092;68788
232;República Dominicana;2009;0;0
233;Rússia;2009;21912914;5732280
234;São Tomé e Príncipe;2009;0;0
235;São Vicente e Granadinas;2009;0;0
236;Senegal;2009;0;0
237;Serra Leoa;2009;0;0
238;Singapura;2009;0;0
239;Suazilândia;2009;0;0
240;Suécia;2009;28334;52826
241;Suíça;2009;27653;81319
242;Suriname;2009;3830;12918
243;Tailândia;2009;0;0
244;Taiwan (FORMOSA);2009;0;0
245;Tanzânia;2009;0;0
246;Tcheca, República;2009;9269;43902
247;Togo;2009;0;0
248;Trinidade Tobago;2009;0;0
249;Tunísia;2009;0;0
250;Turquia;2009;0;0
251;Tuvalu;2009;0;0
252;Uruguai;2009;0;0
253;Vanuatu;2009;0;0
254;Venezuela;2009;0;0
255;Vietnã;2009;743;2143
256;Afeganistão;2010;0;0
257;África do Sul;2010;0;0
258;Alemanha, República Democrática;2010;27715;138666
259;Angola;2010;33557;189891
260;Anguilla;2010;0;0
261;Antígua e Barbuda;2010;0;0
262;Antilhas Holandesas;2010;9810;12808
263;Argentina;2010;0;0
264;Aruba;2010;0;0
265;Austrália;2010;1823;17960
266;Áustria;2010;0;0
267;Bahamas;2010;3175;12759
268;Bangladesh;2010;0;0
269;Barbados;2010;0;0
270;Barein;2010;0;0
271;Bélgica;2010;42532;185411
272;Belice;2010;0;0
273;Benin;2010;0;0
274;Bolívia;2010;54;282
275;Bósnia-Herzegovina;2010;0;0
276;Brasil;2010;0;0
277;Bulgária;2010;0;0
278;Cabo Verde;2010;11991;49366
279;Camarões;2010;0;0
