;pais_destino;ano;quantidade_l;valor_uss
201;Nigéria;2009;41;115
202;Noruega;2009;0;0
203;Nova Caledônia;2009;0;0
204;Nova Zelândia;2009;0;0
205;Omã;2009;0;0
206;Países Baixos;2009;171654;136991
207;Panamá;2009;24;30
208;Paraguai;2009;486927;392087
209;Peru;2009;0;0
210;Polônia;2009;6982;35797
211;Portugal;2009;141000;168923
212;Quênia;2009;0;0
213;Reino Unido;2009;30092;68788
214;Rússia;2009;21912914;5732280
215;São Tomé e Príncipe;2009;0;0
216;São Vicente e Granadinas;2009;0;0
217;Serra Leoa;2009;0;0
218;Singapura;2009;0;0
219;Suazilândia;2009;0;0
220;Suécia;2009;28334;52826
221;Suíça;2009;27653;81319
222;Suriname;2009;3830;12918
223;Tailândia;2009;0;0
224;Taiwan (FORMOSA);2009;0;0
225;Tcheca, República;2009;9269;43902
226;Togo;2009;0;0
227;Trinidade Tobago;2009;0;0
228;Turquia;2009;0;0
229;Tuvalu;2009;0;0
230;Uruguai;2009;0;0
231;Vanuatu;2009;0;0
232;Venezuela;2009;0;0
233;Vietnã;2009;743;2143
234;Afeganistão;2010;0;0
235;África do Sul;2010;0;0
236;Alemanha;2010;27715;138666
237;Angola;2010;33557;189891
238;Antígua e Barbuda;2010;0;0
239;Antilhas Holandesas;2010;9810;12808
240;Argentina;2010;0;0
241;Aruba;2010;0;0
242;Austrália;2010;1823;17960
243;Áustria;2010;0;0
244;Bahamas;2010;3175;12759
245;Bangladesh;2010;0;0
246;Barbados;2010;0;0
247;Barein;2010;0;0
248;Bélgica;2010;42532;185411
249;Belice;2010;0;0
250;Benin;2010;0;0
251;Bolívia;2010;54;282
252;Bósnia-Herzegovina;2010;0;0
253;Brasil;2010;0;0
254;Bulgária;2010;0;0
255;Cabo Verde;2010;11991;49366
256;Camarões;2010;0;0
257;Canadá;2010;0;0
258;Catar;2010;0;0
259;Cayman, Ilhas;2010;0;0
260;Chile;2010;0;0
261;China;2010;795;2358
262;Chipre;2010;0;0
263;Cingapura;2010;1533;5504
264;Cocos (Keeling), Ilhas;2010;0;0
265;Colômbia;2010;0;0
266;Comores;2010;0;0
267;Congo;2010;0;0
268;Coreia, Republica Sul;2010;0;0
269;Costa Rica;2010;0;0
270;Croácia;2010;0;0
271;Cuba;2010;0;0
272;Curaçao;2010;0;0
273;Dinamarca;2010;7034;69161
274;Dominica;2010;0;0
275;El Salvador;2010;0;0
276;Emirados Arabes Unidos;2010;1035;3206
277;Equador;2010;0;0
278;Eslovaca, Republica;2010;0;0
279;Espanha;2010;0;0
280;Estados Unidos;2010;228968;478630
281;Estônia;2010;15848;40778
282;Filipinas;2010;0;0
283;Finlândia;2010;0;0
284;França;2010;3614;18904
285;Gana;2010;0;0
286;Gibraltar;2010;0;0
287;Granada;2010;0;0
288;Grécia;2010;0;0
289;Guatemala;2010;0;0
290;Guiana;2010;783;3654
291;Guiana Francesa;2010;0;0
292;Guine Bissau;2010;0;0
293;Guine Equatorial;2010;410;1015
294;Haiti;2010;2700;3750
295;Honduras;2010;0;0
296;Hong Kong;2010;0;0
297;Hungria;2010;540;4103
298;Ilha de Man;2010;0;0
299;India;2010;0;0
300;Indonésia;2010;0;0
301;Irã;2010;0;0
302;Irlanda;2010;3969;42795
303;Itália;2010;1458;4828
304;Japão;2010;112178;74628
305;Jordânia;2010;0;0
306;Letônia;2010;0;0
